participant_code,group,medical_experience,legal_experience,conlang_experience,native_english,item_id,topic,timepoint,probability_assigned_to_a,correct_answer,logit
P1,intervention,0,0,0,1,Surgery_280,Surgery,before,35.0,B,0.6190392084062236
P1,intervention,0,0,0,1,Surgery_280,Surgery,intermediate,19.0,B,1.4500101755059986
P1,intervention,0,0,0,1,Surgery_280,Surgery,after,4.0,B,3.178053830347945
P1,intervention,0,0,0,1,Contracts_30,Contracts,before,65.0,A,0.6190392084062236
P1,intervention,0,0,0,1,Contracts_30,Contracts,intermediate,85.0,A,1.7346010553881064
P1,intervention,0,0,0,1,Contracts_30,Contracts,after,96.0,A,3.178053830347945
P1,intervention,0,0,0,1,Contracts_27,Contracts,before,45.0,B,0.2006706954621514
P1,intervention,0,0,0,1,Contracts_27,Contracts,intermediate,19.0,B,1.4500101755059986
P1,intervention,0,0,0,1,Contracts_27,Contracts,after,8.0,B,2.442347035369205
P1,intervention,0,0,0,1,Evidence_53,Evidence,before,40.0,A,-0.4054651081081643
P1,intervention,0,0,0,1,Evidence_53,Evidence,intermediate,24.0,A,-1.1526795099383855
P1,intervention,0,0,0,1,Evidence_53,Evidence,after,10.0,A,-2.197224577336219
P1,intervention,0,0,0,1,jbo_63,jbo,before,50.0,B,0.0
P1,intervention,0,0,0,1,jbo_63,jbo,intermediate,75.0,B,-1.0986122886681098
P1,intervention,0,0,0,1,jbo_63,jbo,after,5.0,B,2.9444389791664394
P1,intervention,0,0,0,1,Surgery_249,Surgery,before,50.0,B,0.0
P1,intervention,0,0,0,1,Surgery_249,Surgery,intermediate,35.0,B,0.6190392084062236
P1,intervention,0,0,0,1,Surgery_249,Surgery,after,6.0,B,2.751535313041948
P1,intervention,0,0,0,1,Contracts_20,Contracts,before,70.0,A,0.8472978603872034
P1,intervention,0,0,0,1,Contracts_20,Contracts,intermediate,90.0,A,2.1972245773362196
P1,intervention,0,0,0,1,Contracts_20,Contracts,after,97.0,A,3.4760986898352724
P1,intervention,0,0,0,1,Surgery_283_flipped,Surgery,before,45.0,A,-0.20067069546215124
P1,intervention,0,0,0,1,Surgery_283_flipped,Surgery,intermediate,20.0,A,-1.3862943611198906
P1,intervention,0,0,0,1,Surgery_283_flipped,Surgery,after,10.0,A,-2.197224577336219
P1,intervention,0,0,0,1,Evidence_9,Evidence,before,60.0,B,-0.4054651081081643
P1,intervention,0,0,0,1,Evidence_9,Evidence,intermediate,35.0,B,0.6190392084062236
P1,intervention,0,0,0,1,Evidence_9,Evidence,after,6.0,B,2.751535313041948
P1,intervention,0,0,0,1,jbo_26,jbo,before,50.0,A,0.0
P1,intervention,0,0,0,1,jbo_26,jbo,intermediate,30.0,A,-0.8472978603872036
P1,intervention,0,0,0,1,jbo_26,jbo,after,15.0,A,-1.7346010553881064
P1,intervention,0,0,0,1,Surgery_84,Surgery,before,40.0,A,-0.4054651081081643
P1,intervention,0,0,0,1,Surgery_84,Surgery,intermediate,75.0,A,1.0986122886681098
