participant_code,group,medical_experience,legal_experience,conlang_experience,native_english,item_id,topic,llm_answer,correct_answer,model_correct,llm_logit_difference
P1,intervention,0.0,0.0,0.0,1.0,Contracts_13,Contracts,A,A,1,2.5389738710582757
P1,intervention,0.0,0.0,0.0,1.0,Contracts_20,Contracts,A,A,1,2.628800829448069
P1,intervention,0.0,0.0,0.0,1.0,Contracts_27,Contracts,B,B,1,2.2416763399070536
P1,intervention,0.0,0.0,0.0,1.0,Contracts_28,Contracts,B,B,1,4.323396550222476
P1,intervention,0.0,0.0,0.0,1.0,Contracts_29,Contracts,B,A,0,1.9233951266876772
P1,intervention,0.0,0.0,0.0,1.0,Contracts_3,Contracts,A,A,1,3.8413480477582085
P1,intervention,0.0,0.0,0.0,1.0,Contracts_30,Contracts,A,A,1,2.559014621941721
P1,intervention,0.0,0.0,0.0,1.0,Contracts_36,Contracts,A,B,0,2.19722457733622
P1,intervention,0.0,0.0,0.0,1.0,Contracts_41,Contracts,A,A,1,1.7917594692280558
P1,intervention,0.0,0.0,0.0,1.0,Contracts_44,Contracts,B,B,1,1.8744511850731687
P1,intervention,0.0,0.0,0.0,1.0,Contracts_49,Contracts,B,B,1,3.4863551900024614
P1,intervention,0.0,0.0,0.0,1.0,Contracts_61,Contracts,A,B,0,2.8570594814290486
P1,intervention,0.0,0.0,0.0,1.0,Evidence_19,Evidence,A,A,1,2.5389738710582757
P1,intervention,0.0,0.0,0.0,1.0,Evidence_21,Evidence,B,A,0,-2.142120818009935
P1,intervention,0.0,0.0,0.0,1.0,Evidence_36,Evidence,B,B,1,3.070633581727108
P1,intervention,0.0,0.0,0.0,1.0,Evidence_37,Evidence,A,B,0,2.7725887222397807
P1,intervention,0.0,0.0,0.0,1.0,Evidence_51,Evidence,A,A,1,0.8873031950009029
P1,intervention,0.0,0.0,0.0,1.0,Evidence_53,Evidence,B,A,0,1.7917594692280558
P1,intervention,0.0,0.0,0.0,1.0,Evidence_54,Evidence,B,B,1,3.070633581727108
P1,intervention,0.0,0.0,0.0,1.0,Evidence_58,Evidence,A,A,1,2.602689685444383
P1,intervention,0.0,0.0,0.0,1.0,Evidence_61,Evidence,B,B,1,2.346070204933784
P1,intervention,0.0,0.0,0.0,1.0,Evidence_64,Evidence,B,B,1,2.036881927261041
P1,intervention,0.0,0.0,0.0,1.0,Evidence_69,Evidence,A,A,1,3.4760986898352724
P1,intervention,0.0,0.0,0.0,1.0,Evidence_9,Evidence,B,B,1,3.157000421150112
P1,intervention,0.0,0.0,0.0,1.0,Surgery_15,Surgery,B,B,1,3.563478187572663
P1,intervention,0.0,0.0,0.0,1.0,Surgery_152,Surgery,A,A,1,3.272781089704402
P1,intervention,0.0,0.0,0.0,1.0,Surgery_225,Surgery,B,B,1,2.0971411187792364
P1,intervention,0.0,0.0,0.0,1.0,Surgery_229,Surgery,A,A,1,1.4954936530848828
P1,intervention,0.0,0.0,0.0,1.0,Surgery_249,Surgery,B,B,1,2.751535313041948
P1,intervention,0.0,0.0,0.0,1.0,Surgery_25,Surgery,B,B,1,4.595119850134589
P1,intervention,0.0,0.0,0.0,1.0,Surgery_265,Surgery,A,B,0,3.1609327895678345
P1,intervention,0.0,0.0,0.0,1.0,Surgery_280,Surgery,B,B,1,2.559014621941721
P1,intervention,0.0,0.0,0.0,1.0,Surgery_283_flipped,Surgery,B,A,0,1.9965538818740687
P1,intervention,0.0,0.0,0.0,1.0,Surgery_50,Surgery,B,A,0,-0.48991893894667693
P1,intervention,0.0,0.0,0.0,1.0,Surgery_62,Surgery,A,A,1,1.96765013569172
P1,intervention,0.0,0.0,0.0,1.0,Surgery_84,Surgery,A,A,1,4.29728540621879
P1,intervention,0.0,0.0,0.0,1.0,jbo_111,jbo,A,A,1,0.994622575144062
P1,intervention,0.0,0.0,0.0,1.0,jbo_12,jbo,A,A,1,-1.3862943611198906
P1,intervention,0.0,0.0,0.0,1.0,jbo_26,jbo,B,A,0,1.7346010553881064
P1,intervention,0.0,0.0,0.0,1.0,jbo_30,jbo,A,A,1,2.5866893440979437
P1,intervention,0.0,0.0,0.0,1.0,jbo_39,jbo,A,B,0,1.7346010553881064
P1,intervention,0.0,0.0,0.0,1.0,jbo_44,jbo,A,A,1,3.4760986898352724
P1,intervention,0.0,0.0,0.0,1.0,jbo_45,jbo,B,B,1,2.19722457733622
P1,intervention,0.0,0.0,0.0,1.0,jbo_47,jbo,B,B,1,3.8918202981106256
P1,intervention,0.0,0.0,0.0,1.0,jbo_54,jbo,A,A,1,4.595119850134589
P1,intervention,0.0,0.0,0.0,1.0,jbo_55,jbo,B,B,1,0.8953840470548413
P1,intervention,0.0,0.0,0.0,1.0,jbo_63,jbo,B,B,1,2.94443897916644
P1,intervention,0.0,0.0,0.0,1.0,jbo_71,jbo,A,B,0,1.9924301646902065
P10,intervention,0.0,0.0,0.0,1.0,Contracts_13,Contracts,A,A,1,-0.4054651081081642
P10,intervention,0.0,0.0,0.0,1.0,Contracts_20,Contracts,A,A,1,0.6190392084062236
P10,intervention,0.0,0.0,0.0,1.0,Contracts_27,Contracts,B,B,1,1.3862943611198908
P10,intervention,0.0,0.0,0.0,1.0,Contracts_28,Contracts,B,B,1,-0.4418327522790392
P10,intervention,0.0,0.0,0.0,1.0,Contracts_29,Contracts,B,A,0,0.8472978603872034
P10,intervention,0.0,0.0,0.0,1.0,Contracts_3,Contracts,A,A,1,1.3862943611198908
P10,intervention,0.0,0.0,0.0,1.0,Contracts_30,Contracts,A,A,1,0.25131442828090633
P10,intervention,0.0,0.0,0.0,1.0,Contracts_36,Contracts,A,B,0,0.0
P10,intervention,0.0,0.0,0.0,1.0,Contracts_41,Contracts,A,A,1,-0.8472978603872034
P10,intervention,0.0,0.0,0.0,1.0,Contracts_44,Contracts,B,B,1,0.0
P10,intervention,0.0,0.0,0.0,1.0,Contracts_49,Contracts,B,B,1,1.2527629684953676
P10,intervention,0.0,0.0,0.0,1.0,Contracts_61,Contracts,A,B,0,0.4054651081081642
P10,intervention,0.0,0.0,0.0,1.0,Evidence_19,Evidence,A,A,1,0.8472978603872034
P10,intervention,0.0,0.0,0.0,1.0,Evidence_21,Evidence,B,A,0,0.0
P10,intervention,0.0,0.0,0.0,1.0,Evidence_36,Evidence,B,B,1,0.8472978603872034
P10,intervention,0.0,0.0,0.0,1.0,Evidence_37,Evidence,A,B,0,-0.4054651081081643
P10,intervention,0.0,0.0,0.0,1.0,Evidence_51,Evidence,A,A,1,0.609064063349404
P10,intervention,0.0,0.0,0.0,1.0,Evidence_53,Evidence,B,A,0,0.44183275227903923
P10,intervention,0.0,0.0,0.0,1.0,Evidence_54,Evidence,B,B,1,2.602689685444384
P10,intervention,0.0,0.0,0.0,1.0,Evidence_58,Evidence,A,A,1,1.791759469228055
P10,intervention,0.0,0.0,0.0,1.0,Evidence_61,Evidence,B,B,1,1.3862943611198908
P10,intervention,0.0,0.0,0.0,1.0,Evidence_64,Evidence,B,B,1,0.44183275227903923
P10,intervention,0.0,0.0,0.0,1.0,Evidence_69,Evidence,A,A,1,-0.44183275227903923
P10,intervention,0.0,0.0,0.0,1.0,Evidence_9,Evidence,B,B,1,1.2527629684953676
P10,intervention,0.0,0.0,0.0,1.0,Surgery_15,Surgery,B,B,1,0.75377180237638
P10,intervention,0.0,0.0,0.0,1.0,Surgery_152,Surgery,A,A,1,2.94443897916644
P10,intervention,0.0,0.0,0.0,1.0,Surgery_225,Surgery,B,B,1,0.6190392084062236
P10,intervention,0.0,0.0,0.0,1.0,Surgery_229,Surgery,A,A,1,0.4054651081081642
P10,intervention,0.0,0.0,0.0,1.0,Surgery_249,Surgery,B,B,1,4.595119850134589
P10,intervention,0.0,0.0,0.0,1.0,Surgery_25,Surgery,B,B,1,4.595119850134589
P10,intervention,0.0,0.0,0.0,1.0,Surgery_265,Surgery,A,B,0,-0.6931471805599455
P10,intervention,0.0,0.0,0.0,1.0,Surgery_280,Surgery,B,B,1,-1.7346010553881062
P10,intervention,0.0,0.0,0.0,1.0,Surgery_283_flipped,Surgery,B,A,0,1.3862943611198908
P10,intervention,0.0,0.0,0.0,1.0,Surgery_50,Surgery,B,A,0,-1.2527629684953676
P10,intervention,0.0,0.0,0.0,1.0,Surgery_62,Surgery,A,A,1,1.3862943611198908
P10,intervention,0.0,0.0,0.0,1.0,Surgery_84,Surgery,A,A,1,0.8472978603872034
P10,intervention,0.0,0.0,0.0,1.0,jbo_111,jbo,A,A,1,-0.8472978603872036
P10,intervention,0.0,0.0,0.0,1.0,jbo_12,jbo,A,A,1,0.4054651081081642
P10,intervention,0.0,0.0,0.0,1.0,jbo_26,jbo,B,A,0,-0.4054651081081643
P10,intervention,0.0,0.0,0.0,1.0,jbo_30,jbo,A,A,1,0.0
P10,intervention,0.0,0.0,0.0,1.0,jbo_39,jbo,A,B,0,1.3862943611198908
P10,intervention,0.0,0.0,0.0,1.0,jbo_44,jbo,A,A,1,1.7346010553881064
P10,intervention,0.0,0.0,0.0,1.0,jbo_45,jbo,B,B,1,-1.3862943611198908
P10,intervention,0.0,0.0,0.0,1.0,jbo_47,jbo,B,B,1,0.0
P10,intervention,0.0,0.0,0.0,1.0,jbo_54,jbo,A,A,1,2.19722457733622
P10,intervention,0.0,0.0,0.0,1.0,jbo_55,jbo,B,B,1,0.8472978603872034
P10,intervention,0.0,0.0,0.0,1.0,jbo_63,jbo,B,B,1,0.4054651081081642
P10,intervention,0.0,0.0,0.0,1.0,jbo_71,jbo,A,B,0,2.19722457733622
P100,control,1.0,1.0,0.0,1.0,Contracts_13,Contracts,A,A,1,1.362763863709696
P100,control,1.0,1.0,0.0,1.0,Contracts_20,Contracts,A,A,1,2.0765303314723766
P100,control,1.0,1.0,0.0,1.0,Contracts_27,Contracts,B,B,1,1.2098379237783334
P100,control,1.0,1.0,0.0,1.0,Contracts_28,Contracts,B,B,1,1.650680870968149
P100,control,1.0,1.0,0.0,1.0,Contracts_29,Contracts,B,A,0,1.6945957207744056
P100,control,1.0,1.0,0.0,1.0,Contracts_3,Contracts,A,A,1,1.899390133420419
P100,control,1.0,1.0,0.0,1.0,Contracts_30,Contracts,A,A,1,1.6945957207744056
P100,control,1.0,1.0,0.0,1.0,Contracts_36,Contracts,A,B,0,0.9520088144762333
P100,control,1.0,1.0,0.0,1.0,Contracts_41,Contracts,A,A,1,2.6026896854443824
P100,control,1.0,1.0,0.0,1.0,Contracts_44,Contracts,B,B,1,2.0765303314723766
P100,control,1.0,1.0,0.0,1.0,Contracts_49,Contracts,B,B,1,2.397895272798369
P100,control,1.0,1.0,0.0,1.0,Contracts_61,Contracts,A,B,0,2.397895272798369
P100,control,1.0,1.0,0.0,1.0,Evidence_19,Evidence,A,A,1,0.9520088144762333
P100,control,1.0,1.0,0.0,1.0,Evidence_21,Evidence,B,A,0,0.7357067949787397
P100,control,1.0,1.0,0.0,1.0,Evidence_36,Evidence,B,B,1,2.397895272798369
P100,control,1.0,1.0,0.0,1.0,Evidence_37,Evidence,A,B,0,1.1291490125281909
P100,control,1.0,1.0,0.0,1.0,Evidence_51,Evidence,A,A,1,2.8605187947464827
P100,control,1.0,1.0,0.0,1.0,Evidence_53,Evidence,B,A,0,1.362763863709696
P100,control,1.0,1.0,0.0,1.0,Evidence_54,Evidence,B,B,1,2.0765303314723766
P100,control,1.0,1.0,0.0,1.0,Evidence_58,Evidence,A,A,1,1.5198257537444126
P100,control,1.0,1.0,0.0,1.0,Evidence_61,Evidence,B,B,1,2.397895272798369
P100,control,1.0,1.0,0.0,1.0,Evidence_64,Evidence,B,B,1,2.0765303314723766
P100,control,1.0,1.0,0.0,1.0,Evidence_69,Evidence,A,A,1,2.157219242722519
P100,control,1.0,1.0,0.0,1.0,Evidence_9,Evidence,B,B,1,1.8010792011768562
P100,control,1.0,1.0,0.0,1.0,Surgery_15,Surgery,B,B,1,2.397895272798369
P100,control,1.0,1.0,0.0,1.0,Surgery_152,Surgery,A,A,1,2.8605187947464827
P100,control,1.0,1.0,0.0,1.0,Surgery_225,Surgery,B,B,1,2.397895272798369
P100,control,1.0,1.0,0.0,1.0,Surgery_229,Surgery,A,A,1,1.4434527749598385
P100,control,1.0,1.0,0.0,1.0,Surgery_249,Surgery,B,B,1,1.0434802179733929
P100,control,1.0,1.0,0.0,1.0,Surgery_25,Surgery,B,B,1,2.397895272798369
P100,control,1.0,1.0,0.0,1.0,Surgery_265,Surgery,A,B,0,1.899390133420419
P100,control,1.0,1.0,0.0,1.0,Surgery_280,Surgery,B,B,1,1.6945957207744056
P100,control,1.0,1.0,0.0,1.0,Surgery_283_flipped,Surgery,B,A,0,1.0337516544660672
P100,control,1.0,1.0,0.0,1.0,Surgery_50,Surgery,B,A,0,1.362763863709696
P100,control,1.0,1.0,0.0,1.0,Surgery_62,Surgery,A,A,1,0.9520088144762333
P100,control,1.0,1.0,0.0,1.0,Surgery_84,Surgery,A,A,1,1.899390133420419
P100,control,1.0,1.0,0.0,1.0,jbo_111,jbo,A,A,1,1.2862109025629076
P100,control,1.0,1.0,0.0,1.0,jbo_12,jbo,A,A,1,1.84582669049833
P100,control,1.0,1.0,0.0,1.0,jbo_26,jbo,B,A,0,2.694161088941542
P100,control,1.0,1.0,0.0,1.0,jbo_30,jbo,A,A,1,0.7472144018302198
P100,control,1.0,1.0,0.0,1.0,jbo_39,jbo,A,B,0,2.2335922215070934
P100,control,1.0,1.0,0.0,1.0,jbo_44,jbo,A,A,1,2.5043787532008195
P100,control,1.0,1.0,0.0,1.0,jbo_45,jbo,B,B,1,1.1291490125281909
P100,control,1.0,1.0,0.0,1.0,jbo_47,jbo,B,B,1,2.397895272798369
P100,control,1.0,1.0,0.0,1.0,jbo_54,jbo,A,A,1,2.397895272798369
P100,control,1.0,1.0,0.0,1.0,jbo_55,jbo,B,B,1,0.9520088144762333
P100,control,1.0,1.0,0.0,1.0,jbo_63,jbo,B,B,1,2.694161088941542
P100,control,1.0,1.0,0.0,1.0,jbo_71,jbo,A,B,0,2.5043787532008195
P101,control,0.0,0.0,0.0,1.0,Contracts_13,Contracts,A,A,1,0.9808292530117266
P101,control,0.0,0.0,0.0,1.0,Contracts_20,Contracts,A,A,1,3.349904087274604
P101,control,0.0,0.0,0.0,1.0,Contracts_27,Contracts,B,B,1,2.0971411187792364
P101,control,0.0,0.0,0.0,1.0,Contracts_28,Contracts,B,B,1,1.7917594692280558
P101,control,0.0,0.0,0.0,1.0,Contracts_29,Contracts,B,A,0,0.8472978603872034
P101,control,0.0,0.0,0.0,1.0,Contracts_3,Contracts,A,A,1,0.9808292530117266
P101,control,0.0,0.0,0.0,1.0,Contracts_30,Contracts,A,A,1,2.2335922215070942
P101,control,0.0,0.0,0.0,1.0,Contracts_36,Contracts,A,B,0,-2.9444389791664403
P101,control,0.0,0.0,0.0,1.0,Contracts_41,Contracts,A,A,1,1.3499267169490166
P101,control,0.0,0.0,0.0,1.0,Contracts_44,Contracts,B,B,1,0.9808292530117266
P101,control,0.0,0.0,0.0,1.0,Contracts_49,Contracts,B,B,1,2.5389738710582757
P101,control,0.0,0.0,0.0,1.0,Contracts_61,Contracts,A,B,0,1.3862943611198908
P101,control,0.0,0.0,0.0,1.0,Evidence_19,Evidence,A,A,1,1.3499267169490166
P101,control,0.0,0.0,0.0,1.0,Evidence_21,Evidence,B,A,0,-0.4418327522790392
P101,control,0.0,0.0,0.0,1.0,Evidence_36,Evidence,B,B,1,0.8109302162163292
P101,control,0.0,0.0,0.0,1.0,Evidence_37,Evidence,A,B,0,1.3862943611198908
P101,control,0.0,0.0,0.0,1.0,Evidence_51,Evidence,A,A,1,0.9808292530117266
P101,control,0.0,0.0,0.0,1.0,Evidence_53,Evidence,B,A,0,0.4054651081081642
P101,control,0.0,0.0,0.0,1.0,Evidence_54,Evidence,B,B,1,1.3862943611198908
P101,control,0.0,0.0,0.0,1.0,Evidence_58,Evidence,A,A,1,0.5389965007326873
P101,control,0.0,0.0,0.0,1.0,Evidence_61,Evidence,B,B,1,1.2527629684953676
P101,control,0.0,0.0,0.0,1.0,Evidence_64,Evidence,B,B,1,0.9808292530117266
P101,control,0.0,0.0,0.0,1.0,Evidence_69,Evidence,A,A,1,1.3862943611198908
P101,control,0.0,0.0,0.0,1.0,Evidence_9,Evidence,B,B,1,3.349904087274604
P101,control,0.0,0.0,0.0,1.0,Surgery_15,Surgery,B,B,1,1.3862943611198908
P101,control,0.0,0.0,0.0,1.0,Surgery_152,Surgery,A,A,1,1.3862943611198908
P101,control,0.0,0.0,0.0,1.0,Surgery_225,Surgery,B,B,1,1.3862943611198908
P101,control,0.0,0.0,0.0,1.0,Surgery_229,Surgery,A,A,1,1.3862943611198908
P101,control,0.0,0.0,0.0,1.0,Surgery_249,Surgery,B,B,1,2.94443897916644
P101,control,0.0,0.0,0.0,1.0,Surgery_25,Surgery,B,B,1,4.595119850134589
P101,control,0.0,0.0,0.0,1.0,Surgery_265,Surgery,A,B,0,-0.8472978603872036
P101,control,0.0,0.0,0.0,1.0,Surgery_280,Surgery,B,B,1,1.791759469228055
P101,control,0.0,0.0,0.0,1.0,Surgery_283_flipped,Surgery,B,A,0,1.3862943611198908
P101,control,0.0,0.0,0.0,1.0,Surgery_50,Surgery,B,A,0,0.8472978603872034
P101,control,0.0,0.0,0.0,1.0,Surgery_62,Surgery,A,A,1,2.94443897916644
P101,control,0.0,0.0,0.0,1.0,Surgery_84,Surgery,A,A,1,0.8472978603872034
P101,control,0.0,0.0,0.0,1.0,jbo_111,jbo,A,A,1,2.19722457733622
P101,control,0.0,0.0,0.0,1.0,jbo_12,jbo,A,A,1,0.4054651081081642
P101,control,0.0,0.0,0.0,1.0,jbo_26,jbo,B,A,0,0.8472978603872034
P101,control,0.0,0.0,0.0,1.0,jbo_30,jbo,A,A,1,2.94443897916644
P101,control,0.0,0.0,0.0,1.0,jbo_39,jbo,A,B,0,0.8472978603872034
P101,control,0.0,0.0,0.0,1.0,jbo_44,jbo,A,A,1,2.94443897916644
P101,control,0.0,0.0,0.0,1.0,jbo_45,jbo,B,B,1,-0.4054651081081643
P101,control,0.0,0.0,0.0,1.0,jbo_47,jbo,B,B,1,1.3862943611198908
P101,control,0.0,0.0,0.0,1.0,jbo_54,jbo,A,A,1,0.8472978603872034
P101,control,0.0,0.0,0.0,1.0,jbo_55,jbo,B,B,1,0.4054651081081642
P101,control,0.0,0.0,0.0,1.0,jbo_63,jbo,B,B,1,0.8472978603872034
P101,control,0.0,0.0,0.0,1.0,jbo_71,jbo,A,B,0,2.94443897916644
P102,control,0.0,0.0,0.0,1.0,Contracts_13,Contracts,A,A,1,0.44183275227903923
P102,control,0.0,0.0,0.0,1.0,Contracts_20,Contracts,A,A,1,0.6931471805599456
P102,control,0.0,0.0,0.0,1.0,Contracts_27,Contracts,B,B,1,0.44183275227903923
