participant_id,extra_incentive,show_debate,exploratory_calibration_1,exploratory_calibration_2,brier_score
03MSi5HlM6,True,False,0.4583333333333333,0.25,0.38111724305
73P6jrNg0W,False,True,0.1875,0.25,0.31404389304999997
6OyV3lBL1x,True,True,0.25,0.25,0.6302770558749999
2w9Nzr56yA,True,True,0.125,0.5,0.45191389445
1FW5uvKNNa,False,False,0.375,0.25,0.320649312225
7QWrVyDbBY,True,False,0.4583333333333333,0.25,0.442968272225
4r4g2RT9G5,True,True,0.10416666666666669,0.25,0.42192394445
5zkB0QyYo7,False,True,0.125,0.25,0.25919346945
5VpB4v8eXV,True,False,0.375,0.0,0.18987895984999997
2wu2p4Ak3W,True,False,0.4583333333333333,0.25,0.403887700675
1l953WD5fF,True,True,0.5,0.0,0.35286650392499996
60W9AX1MMU,False,True,0.1875,0.5,0.50661389445
39TIWbVIJA,False,False,0.375,0.25,0.283836587875
7F4loGB9xD,False,False,0.3125,0.25,0.2857557766750001
7mA1aX7hLD,True,True,0.10416666666666669,0.25,0.352823248425
7nPpf6LULs,True,False,None,0.5,0.58363601945
83RM7iN79X,True,False,0.4166666666666667,0.0,0.25041986390000004
DtUvDU8Akp,False,True,0.2916666666666667,0.25,0.47724316097499997
EjOXJ4yGGR,True,True,0.1875,0.5,0.521264841875
eo63gHItQX,True,False,0.4375,0.0,0.301970572225
Ce6HtT44Nv,True,False,0.4583333333333333,0.0,0.32430227567500003
DdgWqRBDNt,False,False,0.25,0.25,0.251674916875
BFI88p0CpU,False,True,0.2708333333333333,0.25,0.41586597905
cMCygr1Wa9,True,True,0.4166666666666667,0.25,0.290028513175
DY0xmq6lbl,True,False,0.4166666666666667,0.0,0.15102230645
DF8V5Zc5gy,False,True,0.25,0.25,0.24554704445000003
ByJeOqehD6,True,False,None,0.5,0.48543021335000003
BfjBihnzYp,False,True,0.375,0.25,0.25953130695000004
FLn158mgVp,True,False,0.5416666666666666,0.0,0.16825169185
bKhuzzo0O1,False,True,0.4583333333333333,0.25,0.249646916825
b6jy8zWkP1,False,False,0.125,0.5,0.274494211875
fZzmAWNpiI,True,True,0.1875,0.5,0.58616488485
EkuzQwuoG6,True,True,0.20833333333333334,0.25,0.39674604869999996
8YKWh2q0eJ,False,True,0.5833333333333334,0.25,0.15136533505
aHqMgTN1Fa,False,True,0.4166666666666667,0.0,0.28693945905000007
glfqLRGgxk,False,True,0.20833333333333334,0.5,0.42148215877499995
eaSvOyCrS1,False,False,0.4791666666666667,0.0,0.28036643145000006
e1Gnx1fjZ5,False,True,0.2916666666666667,0.25,0.546897829175
gqpvNrCT1M,True,False,0.2916666666666667,0.0,0.19919210972499996
cfgWKJiGP7,True,True,0.375,0.25,0.36997033057499995
H15WnAAUy4,False,True,0.5,0.0,0.293796928375
fDhsMDPM5i,True,False,0.22916666666666669,0.25,0.330976822225
amVIlQZcKp,False,False,0.375,0.25,0.2581624535
Ge5BI4N74O,True,True,0.6041666666666667,0.0,0.371241136875
GN852BOKMf,False,False,0.4375,0.25,0.28355054955000003
gR5zM3OXRf,False,False,0.3125,0.25,0.35531641805
h7aon13Ghl,True,True,0.0625,0.5,0.40636705067500006
HMv6DUgVhu,False,False,0.21875,0.5,0.5416017587749999
hRLmpIhQfr,True,False,0.5,0.0,0.27381091469999996
hTV3ZlfsdM,False,True,0.375,0.25,0.202724195025
hRR4Z96RyO,True,False,0.1875,0.25,0.43670213122499996
hw7AOXdyTM,True,False,0.3333333333333333,0.25,0.496892267675
eAoDv1NoXI,False,False,0.25,0.25,0.334983227925
7qQWTfwW5g,False,False,0.2916666666666667,0.25,0.5190886173
87oii2Tu9T,True,True,0.25,0.25,0.39100732167499996
8V4Nbop5IY,False,False,0.4166666666666667,0.0,0.238222853275
8yWLFoIzjA,True,True,0.4375,0.0,0.40526044105000003
9RJN7U4KQg,False,False,0.22916666666666669,0.25,0.332904512175
aGQ2HOnCvV,False,False,0.375,0.0,0.25879524187499997
A8FIC0Zcs2,False,False,None,0.0,0.22394354242500003
BJNGz5dmRR,False,True,0.1875,0.5,0.49326369167499995
bOkFLJMf7Q,True,False,0.0625,0.5,0.30376092785000003
bKwNGsBVe0,True,False,0.22916666666666669,0.25,0.45157729369999994
DR9YmfmmHC,True,True,0.4375,0.25,0.396530786875
h8EDTxQPnm,False,True,0.21875,0.5,0.5363174034
i2t8cM8TiX,False,True,0.5416666666666666,0.25,0.683540135925
